partID,TypeItem,Response,Std,FlexCat
80502122,U1,earring,earring,bend
80502122,U1,hold papers together,hold paper together,bind
80502122,U1,bend into a ring,ring,bend
80502122,U1,scratch an itch,scratch an itch,tip
80502122,U1,press reset button with it,press reset button,tip
80502122,U1,scratch paint9ff,paint scraper,tip
80502122,U1,carve into something,carving,tip
80502122,U1,flick it for table football,table football,location
80502122,U1,chain them together as a necklace,necklace,link
80502122,U1,bend into small figureine,wire figurine,bend
80502122,U1,make a spring,spring,bend
80502122,U1,punch a hole in something,poke a hole in something,tip
49469879,U1,a bookmark,bookmark,bind
49469879,U1,keep a bag closed,close bags,bind
49469879,U1,hair berret,barrette,bind
49469879,U1,toothpick,toothpick,tip
49469879,U1,compass,compass needle,tip
79618010,U1,clip,clip,icon
97044880,U1,use to clean fingernails with,clean fingernail,tip
97044880,U1,use as a monopoly marker,boardgame piece,icon
11708310,U1,hold papers together,hold paper together,bind
11708310,U1,use as a thumbtack,tack,tip
11708310,U1,use to hold items together,hold,bind
11708310,U1,make a necklace,necklace,link
34263940,U1,page clamp,bookmark,bind
22567403,U1,hole punch,hole punch,tip
22567403,U1,ornament hanger,ornament hook,bend
22567403,U1,key holder,keyring,bend
22567403,U1,page marker,bookmark,bind
22567403,U1,print shpes with paint,paint brush,tip
22567403,U1,hang things on a moblie,hang on moblle,link
52433601,U1,\key,key,tip
48190565,U1,hair tie,hair tie,bind
48190565,U1,hanger,hanger,bend
48190565,U1,reboot the wireless box,press reset button,tip
48190565,U1,hold items on a wind chime,hang on wind chime,link
72963512,U1,hooking together making a chain,chain,link
17180250,U1,door lock pick,lock picker,tip
17180250,U1,paper holder,hold paper together,bind
17180250,U1,weapon,weapon,tip
99622576,U1,hold papers,hold paper together,bind
99622576,U1,lock pick,lock picker,tip
59521466,U1,hold papers,hold paper together,bind
59521466,U1,earring,earring,bend
59521466,U1,ear cleaner,ear cleaner,tip
59521466,U1,toothpick,toothpick,tip
59521466,U1,lock pick,lock picker,tip
82082115,U1,paper,paper(s),bind
87105617,U1,to pick the dirt out of your fingernails with,clean fingernail,tip
87105617,U1,to fascen your pants with when your button fly breaks,button,bend
87105617,U1,as an earring,earring,bend
87105617,U1,to pop a balloon with,pop balloon,tip
87105617,U1,as a key to unlock a bathroom door,lock picker,tip
87105617,U1,to poke someone with to wake them up,poker,tip
87105617,U1,hook several together to make a chain,chain,link
87105617,U1,to reset a modem with,press reset button,tip
69028491,U1,bookmark,bookmark,bind
69028491,U1,money clip,money clip,bind
69028491,U1,string together to make jewelry,jewelry,bend
69028491,U1,use the ends to clean fingernails,clean fingernail,tip
69028491,U1,use it to secure the bread sack,close bags,bind
69028491,U1,use it to hold your ID to a lanyard,lanyard,link
69028491,U1,glue to barbie house wall for a wall decoration,dollhouse decoration,bend
30006367,U1,Open doors,lock picker,tip
30006367,U1,hold paper together,hold paper together,bind
41270529,U1,hold papers together,hold paper together,bind
41270529,U1,straighten and use to poke something small,poker,tip
41270529,U1,make a cheap necklace by linking many together,necklace,link
41460551,U1,Operation Paperclip,Operation Paperclip,icon
41460551,U1,Office Depot,Office Depot,location
41460551,U1,Staples,staple,bend
41460551,U1,Paperclip chain,chain,link
86743152,U1,holding papers together,hold paper together,bind
