partID,batch,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10
41216597,1,,,,,,,,,,
79835916,1,,,,,,,,,,
93589456,1,,,,,,,,,,
28639510,1,,,,,,,,,,
34651585,1,,,,,,,,,,
13383223,1,,,,,,,,,,
44441758,1,,,,,,,,,,
58363250,1,,,,,,,,,,
82141474,1,,,,,,,,,,
24321969,1,,,,,,,,,,
25111299,1,,,,,,,,,,
69218789,1,,,,,,,,,,
68125681,1,,,,,,,,,,
79077526,1,,,,,,,,,,
65725119,1,,,,,,,,,,
78996918,1,,,,,,,,,,
46038107,1,,,,,,,,,,
72771430,1,,,,,,,,,,
58925398,1,,,,,,,,,,
91891301,1,,,,,,,,,,
69732884,1,,,,,,,,,,
61743455,1,,,,,,,,,,
28519099,1,,,,,,,,,,
23563734,1,,,,,,,,,,
70759764,2,6,3,5,2,6,3,5,2,6,4
75133687,2,6,6,6,5,5,6,5,6,6,5
44793723,2,6,4,5,3,6,4,6,1,4,4
13826637,2,2,6,4,5,6,2,5,6,6,6
44482981,2,5,5,6,5,5,1,5,6,5,4
88151255,2,5,6,6,6,6,5,7,4,7,4
57870723,2,1,7,6,6,5,1,6,5,6,3
97196122,2,6,5,6,5,5,2,4,5,4,6
22295794,2,2,2,2,2,2,2,2,2,2,2
94781213,2,7,7,6,6,6,2,7,6,7,4
97250034,2,6,5,6,1,5,6,6,6,6,5
20723511,2,5,4,7,2,7,4,5,6,5,5
43887492,2,2,6,5,7,5,1,4,3,7,6
16649627,2,5,7,6,7,6,4,6,7,6,5
80606077,2,6,1,7,2,6,1,6,1,6,1
12741142,2,6,1,6,3,4,3,6,1,6,1
30573771,2,7,2,7,2,7,2,7,2,7,1
38497863,2,7,3,6,2,6,2,7,1,7,1
76645505,2,6,7,6,7,7,2,6,7,6,7
46864943,2,2,4,3,4,5,2,5,2,4,5
63423286,3,5,6,4,2,3,6,3,3,6,6
22791557,3,1,4,6,6,3,2,2,7,6,4
94250342,3,5,6,4,2,6,2,6,6,6,5
46891630,3,5,5,5,4,5,4,5,6,6,5
47742261,3,1,4,4,2,5,1,4,4,2,5
83822921,3,,,,,,,,,,
37155941,3,1,6,4,4,5,1,5,6,5,6
16230369,3,3,7,5,4,5,2,6,4,7,7
59963223,3,5,3,5,5,5,4,7,2,6,2
72479866,3,2,6,5,1,5,2,5,5,3,7
43012454,3,4,3,6,3,4,5,4,3,5,4
14353752,3,6,3,5,4,6,3,6,4,4,4
64256478,3,2,6,4,2,5,2,5,4,4,4
94313925,3,3,7,7,4,4,2,5,5,5,7
93105314,3,4,7,7,7,4,3,6,7,7,4
93002056,3,5,6,5,4,6,4,5,6,5,5
84304492,3,6,2,6,2,6,6,6,6,4,5
55381082,3,6,6,6,6,6,4,6,6,6,6
33676203,3,5,6,5,3,7,3,6,1,5,5
18684575,3,7,4,6,5,7,4,7,6,6,7
58205781,3,5,3,5,2,7,2,6,2,4,4
86887158,3,4,7,5,3,4,1,7,3,6,3
89459518,3,1,4,4,1,6,1,6,1,2,4
69463877,3,5,3,4,3,6,6,6,4,4,5
41058175,3,3,3,7,6,6,2,7,7,6,6
68608200,3,5,4,,5,6,4,6,5,6,4
63443843,3,6,5,5,6,5,6,6,5,5,2
50089935,3,5,6,6,6,6,5,6,6,5,4
60441045,3,2,7,6,6,6,2,7,7,6,6
78564784,3,6,6,5,7,4,4,7,4,4,4
79407242,3,5,6,6,3,6,7,5,4,3,7
21914723,3,6,1,6,1,7,2,7,2,7,2
73371174,3,1,7,7,5,4,5,7,5,6,6
84795565,3,4,3,6,5,5,3,5,6,6,6
28638884,3,6,1,6,1,6,2,6,1,7,2
48366887,3,6,6,6,4,5,3,6,7,4,4
56400043,3,6,7,6,3,5,4,6,3,5,2
79770667,3,2,6,6,7,5,2,4,6,5,3
97052016,3,1,6,3,4,5,2,7,2,5,4
98696996,3,7,7,7,7,6,2,7,7,7,6
37843155,3,5,6,3,5,5,3,6,4,4,5
58355254,3,2,1,6,3,3,3,3,5,3,4
59506691,3,5,6,6,3,3,2,5,7,3,6
35910096,3,1,7,6,7,6,1,5,7,6,6
84587700,3,1,7,5,5,6,1,6,6,5,6
23443821,3,7,1,6,2,7,2,7,2,7,2
52017909,3,6,3,6,3,5,2,5,4,5,2
47193905,3,3,6,6,5,4,3,4,5,6,6
39350935,3,6,4,5,5,5,2,7,4,5,3
33829998,3,3,5,6,4,5,3,5,6,4,6
74176285,3,6,3,5,2,6,2,5,3,4,5
98188016,3,7,6,6,6,4,7,7,3,6,3
89770710,3,6,5,7,5,6,7,6,7,7,7
58686555,3,2,7,5,6,6,1,5,4,6,6
56566858,3,6,5,6,4,5,5,6,7,4,4
35976001,3,2,5,5,3,1,2,6,7,5,6
87394932,3,4,5,4,3,6,2,6,4,3,4
49749896,3,6,6,3,1,5,7,4,4,1,7
44162497,3,3,6,6,6,5,2,4,5,5,5
89509750,3,2,4,6,6,5,3,5,6,6,4
15709838,3,5,7,7,7,4,3,7,7,7,7
18677698,3,5,7,7,7,5,1,7,7,7,5
16659017,3,3,3,5,3,5,3,5,7,4,6
89492740,3,6,2,7,2,7,6,7,2,3,6
80443527,3,5,3,6,6,5,3,6,7,6,6
44444191,3,2,5,3,1,6,2,7,2,2,5
17905398,3,7,7,7,7,6,2,6,7,7,7
22215779,3,5,7,7,5,7,5,2,1,5,7
43125708,3,7,7,6,7,7,1,7,7,7,2
16754315,3,3,6,6,7,5,2,4,3,7,5
70035786,3,1,7,5,5,2,1,6,7,5,1
84709790,3,7,5,6,6,7,5,3,6,6,3
94854502,3,7,7,7,7,7,6,7,6,7,7
64229960,3,5,2,7,2,5,2,7,2,7,2
75346112,3,6,1,6,5,7,2,7,5,6,4
20595084,3,3,6,5,6,6,2,6,3,6,6
59417410,3,6,6,5,7,6,3,6,6,6,4
89576469,3,6,6,6,6,6,6,6,6,6,6
91626468,3,5,6,6,6,5,3,6,3,6,6
21234990,3,2,5,7,7,6,1,3,5,7,6
25834284,3,5,2,7,2,6,3,7,2,6,1
74191913,3,1,7,6,3,3,1,,3,6,6
87914639,3,1,5,7,2,3,1,7,5,7,5
70688156,3,5,5,5,2,7,2,5,3,6,5
94330628,3,6,3,7,4,5,5,7,7,5,4
76065904,3,6,6,7,7,7,2,6,7,5,4
15391664,3,5,3,5,4,6,2,7,4,5,7
57338044,3,6,6,6,2,6,2,7,7,6,2
22230338,3,5,5,6,5,6,3,6,5,6,5
31446417,3,6,6,7,6,6,2,7,7,7,7
92644479,3,5,6,6,4,6,4,4,7,4,6
52990717,3,4,2,4,3,6,2,5,3,6,2
79159444,3,6,4,7,7,6,7,7,7,7,5
43775855,3,5,7,6,7,5,4,5,6,7,7
25088719,3,6,3,5,4,5,2,6,1,5,3
47617173,3,1,7,6,1,5,1,5,7,5,1
58975072,3,5,5,5,5,5,5,5,5,5,3
85207782,3,4,5,5,6,6,2,3,5,7,5
74836383,3,6,7,7,4,6,6,7,6,4,6
74344382,3,6,6,7,7,7,4,6,7,7,6
24560390,3,6,7,6,7,6,7,6,7,6,7
58631744,3,6,1,6,1,7,7,6,5,4,4
71059897,3,6,6,6,6,6,6,6,6,6,6
13139386,3,6,5,6,6,5,5,6,5,6,3
70880729,3,6,1,5,4,6,1,4,4,6,2
29615569,3,6,7,6,7,6,2,6,7,6,7
17831991,3,6,6,5,3,6,2,7,4,3,6
26657133,3,7,7,7,7,7,7,7,7,7,7
78604104,3,2,4,5,4,6,6,5,5,5,4
81442083,3,6,3,6,1,6,3,3,4,4,5
43615505,3,7,6,7,7,7,4,7,7,7,7
47232109,3,1,4,7,1,7,1,7,7,1,7
95975656,3,6,2,6,1,6,2,6,1,6,2
29385055,3,6,7,6,6,6,3,6,5,6,7
45352077,3,4,5,3,4,2,5,4,7,2,6
82531921,3,3,4,4,2,5,4,4,3,4,4
74259120,3,6,7,5,7,6,5,4,7,5,6
23827508,3,5,6,6,5,5,5,6,6,6,6
31101308,3,5,2,6,3,6,3,6,4,5,2
88317354,3,7,1,7,1,7,1,7,1,7,1
82088758,3,6,7,6,4,6,1,5,6,7,6
48157215,3,3,2,4,1,5,2,5,2,7,2
20560904,3,5,2,5,2,6,2,6,2,6,2
83106538,3,5,4,7,5,6,4,5,7,5,6
82608196,3,5,7,6,7,5,2,6,7,6,2
67159572,3,6,5,6,3,6,2,5,5,6,3
65973646,3,6,7,7,7,7,6,6,7,6,7
22114831,3,4,4,5,2,7,2,4,3,6,1
12335104,3,3,5,5,4,5,3,6,5,4,3
93035244,3,1,7,1,5,1,,3,5,2,7
27154650,3,7,1,7,1,7,1,7,1,7,1
43350719,3,7,7,6,6,6,2,6,7,6,7
90781314,3,1,4,6,1,5,2,7,7,3,7
63989525,3,6,6,7,7,5,2,5,4,6,
18997074,3,6,3,5,3,6,6,5,4,5,6
12931793,3,4,4,4,4,4,4,4,4,4,4
27744298,3,5,7,6,7,5,5,7,7,5,6
40335068,3,6,6,2,7,5,2,,7,5,5
66412153,3,6,6,6,4,6,6,6,6,4,6
30126211,3,6,3,6,2,7,1,6,2,7,1
54417918,3,6,3,7,3,4,4,6,6,4,5
42921246,3,5,2,6,3,5,4,5,3,4,5
52369545,3,7,6,5,6,4,3,6,4,5,4
12510716,3,6,3,7,4,5,2,7,2,5,2
73957197,3,3,6,5,4,5,2,7,6,5,6
47949595,3,6,6,6,2,6,2,6,6,6,6
28769473,3,6,3,6,3,7,3,6,5,5,7
24010855,3,1,3,6,2,6,2,6,7,6,2
30436877,3,5,3,6,2,5,2,6,5,5,3
65316029,3,6,7,7,3,6,5,6,3,5,6
27858009,3,6,4,3,3,7,5,6,5,7,3
73508294,3,2,3,6,6,3,2,6,6,6,3
88497239,3,6,6,6,6,6,2,6,7,6,3
80132275,3,5,3,7,4,5,4,5,5,5,5
66177746,3,4,4,4,4,4,4,4,4,4,4
71090367,3,7,3,6,5,6,5,6,7,6,6
24327985,3,1,7,7,7,7,1,7,7,7,1
43019404,3,4,4,5,3,6,3,5,5,5,3
28953434,3,6,3,4,2,7,3,6,3,5,4
43737522,3,6,6,4,3,7,5,5,6,4,7
88974989,3,1,5,3,5,6,1,5,3,5,5
81617408,3,7,7,7,6,6,6,7,7,7,6
32627182,3,5,3,4,4,3,4,4,3,4,5
40719318,3,6,3,5,1,6,6,6,2,3,6
91085620,3,6,3,4,2,6,,3,5,,7
86570425,3,6,4,5,6,5,7,7,7,6,7
21132183,3,6,4,6,4,5,2,5,5,4,2
60700552,3,6,3,5,5,6,2,6,6,5,6
93884247,3,3,3,5,3,4,2,5,3,4,3
46177974,3,1,7,7,7,7,7,7,7,7,7
40224199,3,1,3,6,3,4,2,2,7,4,5
71378838,3,5,5,4,4,4,4,5,1,3,2
18719320,3,6,4,6,6,7,5,6,6,6,6
27271814,3,5,6,6,5,7,5,5,6,6,7
17667467,3,7,2,4,1,7,3,6,6,5,7
44379517,3,5,3,6,3,6,2,3,6,5,6
47582743,3,6,6,6,2,6,6,6,6,6,5
36300313,3,4,7,7,7,6,2,7,7,7,2
30869273,3,7,5,6,6,7,7,5,2,7,7
41459654,3,4,4,3,3,5,3,6,5,6,4
42655463,3,5,4,6,1,4,3,7,5,5,7
12842806,3,4,6,6,4,5,4,4,5,5,5
15515592,3,6,7,7,5,6,6,6,6,5,6
86410298,3,3,6,4,4,5,3,4,6,3,4
56958076,3,5,1,1,1,7,7,4,7,4,7
80874394,3,2,3,2,5,6,1,3,1,5,5
11972263,3,6,7,1,7,1,7,1,7,5,6
45301492,3,7,7,7,7,7,6,7,7,6,7
87310301,3,6,7,7,6,6,6,6,7,6,6
49668226,3,7,7,7,7,7,7,7,7,7,7
15361664,3,1,7,6,6,2,1,6,5,4,3
32769138,3,5,7,5,5,4,5,6,7,4,6
77147034,3,2,6,5,6,6,4,4,6,4,7
38947574,3,3,5,5,3,4,4,4,5,4,5
74467155,3,6,6,7,7,7,4,5,7,6,6
51999816,3,1,3,2,3,3,1,4,2,3,6
38444841,3,4,5,2,1,7,1,7,4,4,6
96711413,3,5,6,6,7,5,4,7,6,6,4
49843218,3,6,7,6,4,6,2,6,7,6,7
85491441,3,7,7,7,7,7,7,7,7,7,7
71239663,3,5,5,6,,5,4,4,6,6,6
85043277,3,6,4,5,5,4,2,2,5,6,5
91266108,3,6,2,5,5,7,3,4,7,7,7
90905755,3,5,5,4,5,5,3,6,3,6,5
85140116,3,2,5,5,3,4,5,5,7,3,4
23108131,3,6,6,5,6,6,6,5,6,6,6
92393904,3,1,7,6,6,2,2,6,6,5,2
40588190,3,6,3,5,5,6,2,5,4,6,4
60961434,3,6,5,6,2,6,2,6,5,6,2
60880690,3,1,3,2,2,1,1,6,5,2,2
29196038,3,6,2,5,1,7,5,3,6,4,5
55262750,3,5,4,3,4,4,4,6,3,4,3
99963739,3,6,7,1,7,1,7,1,7,5,7
20643160,3,6,6,6,7,6,6,6,7,7,6
11464571,3,5,6,5,4,7,3,7,4,6,6
74519439,3,6,4,6,5,6,3,6,5,5,4
32445458,3,5,5,5,3,5,4,5,5,4,5
91426523,3,6,5,6,3,5,5,4,3,6,3
91479095,3,6,5,5,5,5,5,3,6,5,6
28983848,3,2,2,7,2,1,2,5,7,2,1
42407269,3,6,3,5,3,6,2,5,4,5,3
71945559,3,5,3,6,7,7,7,5,6,2,7
41266619,3,5,6,7,6,5,2,7,6,7,6
17481495,3,3,5,4,4,4,4,4,4,4,4
