participant,jot_1,jot_2,jot_3,jot_4,jot_5,jot_6,jot_7,jot_8,jot_9,jot_10
11505443,pizza box,dice,tile,,,,,,,
12510716,square things,,,,,,,,,
12842806,box,,,,,,,,,
15391664,tv,game board,chicken coop,computer,,,,,,
15515592,Tiffen Bon,cupboard,fish tank,clock,square bangle,,,,,
15798026,football,,,,,,,,,
16659017,tv,children's blocks,house,tile,picture frame,gamecube games,window,,,
17666892,cube,pillow,basket,bag,,,,,,
18684575,box,paper,house,book,tv,window,door,sign,,
20595084,box,cabinet,table,window,clock,Spongebob Squarepants,sponge,scrapbook,chess board,game board
22295794,cup holder,tile,table,,,,,,,
24010855,cake,dice,,,,,,,,
24051389,box,computer screen,tray,container,baking pan,window,house,poster,canvas,box fan
24560390,picture,,,,,,,,,
24945455,toast,Spongebob Squarepants,mouse pad,Nerds,cardboard box,number times itself,CD case,baseball diamond viewed from side,peg,hamburger patty at Wendy's
