participant,jot,standardized
11505443,1,pizza box
11505443,2,dice
11505443,3,tile
11852797,1,window
11852797,2,book
11972263,1,tv
11972263,2,box
11972263,3,table
12510716,1,square things
12736297,1,box
12736297,2,cube
12842806,1,box
13139386,1,box
13139386,2,cellphone
13139386,3,book
13139386,4,pillow
13139386,5,book
13139386,6,table
15391664,1,tv
15391664,2,game board
15391664,3,chicken coop
15391664,4,computer
15515592,1,Tiffen Bon
15515592,2,cupboard
15515592,3,fish tank
15515592,4,clock
15515592,5,square bangle
15798026,1,football
15977809,1,dice
15977809,2,chess
15977809,3,book
15977809,4,box
15977809,5,frame
16659017,1,tv
16659017,2,children's blocks
16659017,3,house
16659017,4,tile
16659017,5,picture frame
16659017,6,gamecube games
16659017,7,window
17481495,1,table
17481495,2,tv
17481495,3,phone button
17666892,1,cube
17666892,2,pillow
17666892,3,basket
17666892,4,bag
17667467,1,book
17667467,2,box
17667467,3,cube
17667467,4,tile
17905398,1,box
17905398,2,playground
17905398,3,table
17905398,4,book
17905398,5,board game
18684575,1,box
18684575,2,paper
18684575,3,house
18684575,4,book
18684575,5,tv
18684575,6,window
18684575,7,door
18684575,8,sign
18719320,1,box
18719320,2,music player
18719320,3,lunch box
18997074,1,box
18997074,2,picture frame
18997074,3,cube
20595084,1,box
20595084,2,cabinet
20595084,3,table
20595084,4,window
20595084,5,clock
20595084,6,Spongebob Squarepants
20595084,7,sponge
20595084,8,scrapbook
20595084,9,chess board
20595084,10,game board
20595084,11,GameCube
20595084,12,pot holder
20595084,13,deep-dish pizza
20595084,14,origami paper
20595084,15,purse
20595084,16,four square
20595084,17,tv
20595084,18,ravioli
20595084,19,calculator
22295794,1,cup holder
22295794,2,tile
22295794,3,table
24010855,1,cake
24010855,2,dice
24051389,1,box
24051389,2,computer screen
24051389,3,tray
24051389,4,container
24051389,5,baking pan
24051389,6,window
24051389,7,house
24051389,8,poster
24051389,9,canvas
24051389,10,box fan
24051389,11,sign
24051389,12,baseball base
24051389,13,cube
24051389,14,dice
24327985,1,table
24327985,2,cable
24327985,3,pillow
24327985,4,diamond
24327985,5,window
24560390,1,picture
24945455,1,toast
24945455,2,Spongebob Squarepants
24945455,3,mouse pad
24945455,4,Nerds
24945455,5,cardboard box
24945455,6,number times itself
24945455,7,CD case
24945455,8,baseball diamond viewed from side
24945455,9,peg
24945455,10,hamburger patty at Wendy's
24945455,11,social country dance
25834284,1,tv
25834284,2,room
25834284,3,picture
25834284,4,bed
25834284,5,table
25834284,6,house
25834284,7,printing press
28519099,1,cube
28519099,2,box
28519099,3,clock
28519099,4,cake pan
28519099,5,decorative pillows
28769473,1,box
28769473,2,cube
28769473,3,Rubiks cube
28769473,4,crate
28769473,5,truck
28769473,6,hassock
28769473,7,table
28769473,8,trunk
28769473,9,chest
31101308,1,invitations
31101308,2,room
31101308,3,house
31101308,4,visiting card
31101308,5,office
33616448,1,computer screen
33676203,1,cracker
33676203,2,bread
33676203,3,picture
33676203,4,art
33676203,5,picture frame
33676203,6,dresser
33676203,7,window
33676203,8,envelope
33676203,9,stamp
33676203,10,candle
33676203,11,cardboard box
33676203,12,jewelry box
33676203,13,precious stones
33676203,14,computer monitor
33676203,15,tv
33676203,16,DVD player
37155941,1,box
37155941,2,Rubiks cube
39350935,1,tv
39350935,2,telephone
39350935,3,calculator
39350935,4,calendar
39350935,5,bed
40224199,1,dice
40224199,2,box
40224199,3,CPU
40224199,4,safe
40224199,5,keyboard button
40588190,1,dice
40588190,2,paper
40588190,3,table
40588190,4,picture frame
40588190,5,floppy disc
40610970,1,box
40610970,2,book
40610970,3,table
40610970,4,tv
40610970,5,camera
41058175,1,stool
41058175,2,table
41058175,3,chair
41058175,4,dice
