participant,jot_1,jot_2,jot_3,jot_4,jot_5,jot_6,jot_7,jot_8,jot_9,jot_10,jot_11,jot_12,jot_13,jot_14,jot_15,jot_16,jot_17,jot_18,jot_19
11505443,pizza box,dice,tile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11852797,window,book,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11972263,tv,box,table,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12510716,square things,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12736297,box,cube,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12842806,box,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13139386,box,cellphone,book,pillow,book,table,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15391664,tv,game board,chicken coop,computer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15515592,Tiffen Bon,cupboard,fish tank,clock,square bangle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15798026,football,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15977809,dice,chess,book,box,frame,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16659017,tv,children's blocks,house,tile,picture frame,gamecube games,window,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17481495,table,tv,phone button,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17666892,cube,pillow,basket,bag,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17667467,book,box,cube,tile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17905398,box,playground,table,book,board game,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18684575,box,paper,house,book,tv,window,door,sign,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18719320,box,music player,lunch box,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18997074,box,picture frame,cube,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20595084,box,cabinet,table,window,clock,Spongebob Squarepants,sponge,scrapbook,chess board,game board,GameCube,pot holder,deep-dish pizza,origami paper,purse,four square,tv,ravioli,calculator
22295794,cup holder,tile,table,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24010855,cake,dice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24051389,box,computer screen,tray,container,baking pan,window,house,poster,canvas,box fan,sign,baseball base,cube,dice,NA,NA,NA,NA,NA
24327985,table,cable,pillow,diamond,window,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24560390,picture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24945455,toast,Spongebob Squarepants,mouse pad,Nerds,cardboard box,number times itself,CD case,baseball diamond viewed from side,peg,hamburger patty at Wendy's,social country dance,NA,NA,NA,NA,NA,NA,NA,NA
25834284,tv,room,picture,bed,table,house,printing press,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28519099,cube,box,clock,cake pan,decorative pillows,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28769473,box,cube,Rubiks cube,crate,truck,hassock,table,trunk,chest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31101308,invitations,room,house,visiting card,office,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33616448,computer screen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33676203,cracker,bread,picture,art,picture frame,dresser,window,envelope,stamp,candle,cardboard box,jewelry box,precious stones,computer monitor,tv,DVD player,NA,NA,NA
37155941,box,Rubiks cube,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39350935,tv,telephone,calculator,calendar,bed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40224199,dice,box,CPU,safe,keyboard button,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40588190,dice,paper,table,picture frame,floppy disc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40610970,box,book,table,tv,camera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41058175,stool,table,chair,dice,LEGO,box,picture frame,tile,picture,painting,book,gem,NA,NA,NA,NA,NA,NA,NA
41187657,table,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42655463,window,tub,picture frame,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43148944,box,coil box,square box,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44135941,book,tv,XBOX,CD case,pizza box,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44179400,table,stool,plastic box,cube,chess,carrom board,rubber stamp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44379517,window,box,table,desk,bench,paper weight,cassette-airconditioner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44441758,plate,book,cake pan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44482981,box,cream cheese log,oven door,ottoman,mouse pad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44793723,table,book,Cheese Its,box,Rubiks cube,cracker,pizza,plate,pillow,credit card,tissue box,microwave,remote control,shower glass,NA,NA,NA,NA,NA
45301492,cube,box,window,tv,bed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47617173,boxing ring,keyboard button,computer screen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47742261,bread,cabinet door,tv,pack of cigarettes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48157215,box,Xbox,tv,book,shovel,building,Chinese coin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48366887,pillow,jewelry box,mirror,paper pad,book,folded towel,pet kennel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49668226,computer screen,keyboard,cellphone,paper,mobile battery,tv,printer,carrom board,floppy disc,chess,snake and ladder board,NA,NA,NA,NA,NA,NA,NA,NA
49749896,cube,paper,graduation cap,suitcase,speaker,box,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49843218,tv,crackers,window,box,tile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50089935,box,ice cube,jewelry box,pillow,picture frame,patch,cube,plaque,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51321110,box,brick,house,meal,picture frame,Colorado,parents,robot head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51347077,cube,ludo dice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52990717,cube,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54417918,block,gift box,picture frame,CD case,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57338044,puzzle,tv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57936599,cube,tv,watch,box,book,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58363250,cube,box,table,computer monitor,tv,rectangle,window,glass pane,door,freezer,ice cube,Rubiks cube,NA,NA,NA,NA,NA,NA,NA
58631744,tv,box,picture frame,table,window,ice cube,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59417410,dice,box,cage,frame,door,window,container,telephone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60380292,note,board,sticker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60880690,chess,tile,computer screen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61084537,table,dice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61743455,computer monitor,dice,picture frame,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62021565,table,dice,box,book,mirror,carrom board,chess,handkerchief,stove,shelf,NA,NA,NA,NA,NA,NA,NA,NA,NA
63443843,tv,telephone,desk,table,door,window,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63989525,dice,puzzle,cake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64256478,cd case,tv,bread,Kraft single cheese slice,book,kitchen table,window,table,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65409431,box,tv,table,rug,computer screen,bed,book,mouse,pad,photograph,NA,NA,NA,NA,NA,NA,NA,NA,NA
67391917,dice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
