partID,sum_MAUI,avg_MAUI,sum_UI95,avg_UI95,TypeItem
10669095,4.180097996664818,0.5971568566664026,6,0.8571428571428571,F1
10998955,2.711019653763145,0.38728852196616353,3,0.42857142857142855,F1
11708310,1.3884803921568627,0.46282679738562094,1,0.3333333333333333,F1
12138126,3.701181292189007,0.6168635486981678,4,0.6666666666666666,F1
12942582,1.1924019607843137,0.39746732026143794,2,0.6666666666666666,F1
13835981,3.428921568627451,0.6857843137254902,5,1,F1
14847519,0.9217379574780732,0.4608689787390366,2,1,F1
15331938,2.230392156862745,0.5575980392156863,2,0.5,F1
15979710,0.6899509803921569,0.3449754901960784,1,0.5,F1
16283242,2.6901518804243008,0.44835864673738346,3,0.5,F1
16509909,5.470588235294118,0.5470588235294118,6,0.6,F1
16824735,3.6939102564102564,0.6156517094017094,5,0.8333333333333334,F1
17237155,1.6564481055580127,0.8282240527790063,2,1,F1
17406806,0.4068627450980392,0.2034313725490196,0,0,F1
20831489,1.403186274509804,0.350796568627451,1,0.25,F1
21792846,2.3730230833108457,0.7910076944369486,3,1,F1
22272054,1.375,0.4583333333333333,2,0.6666666666666666,F1
22292741,0.9044117647058824,0.4522058823529412,1,0.5,F1
23480181,4.805258467023173,0.5339176074470192,5,0.5555555555555556,F1
24211189,4.748252524439505,0.4748252524439505,5,0.5,F1
24724915,2.2943185470909677,0.45886370941819354,2,0.4,F1
24802850,5.11415394560191,0.5682393272891011,7,0.7777777777777778,F1
25044406,1.0294117647058822,0.3431372549019608,1,0.3333333333333333,F1
32262733,2.9325980392156863,0.5865196078431373,3,0.6,F1
32716418,0.8838137714102035,0.1767627542820407,0,0,F1
33737973,0.0625,0.0625,0,0,F1
33876433,10.5268856167708,0.657930351048175,14,0.875,F1
34007163,0.6274509803921569,0.6274509803921569,1,1,F1
35874066,1.1979723707664884,0.5989861853832442,1,0.5,F1
36268477,0.7475490196078431,0.24918300653594772,1,0.3333333333333333,F1
37572245,1.2794117647058822,0.31985294117647056,1,0.25,F1
38905481,1.732843137254902,0.4332107843137255,1,0.25,F1
39495925,3.696078431372549,0.6160130718954249,5,0.8333333333333334,F1
40435244,1.6875,0.5625,3,1,F1
40542519,1.090686274509804,0.545343137254902,1,0.5,F1
40694233,8.8867613576194,0.7405634464682834,12,1,F1
41654252,0.46568627450980393,0.15522875816993464,0,0,F1
41899734,1.428921568627451,0.4763071895424837,2,0.6666666666666666,F1
41977405,5.91421568627451,0.7392769607843137,7,0.875,F1
42072154,1.8823529411764706,0.6274509803921569,3,1,F1
