count,cumsum,mass,MAUI,pct_giving,TypeItem,sample_size
51,51,51,0.0625,0.51,F1,100
24,75,24,0.15441176470588236,0.24,F1,100
12,87,12,0.19852941176470587,0.12,F1,100
10,97,10,0.22549019607843138,0.1,F1,100
9,106,9,0.24877450980392157,0.09,F1,100
8,130,24,0.28921568627450983,0.08,F1,100
7,151,21,0.3443627450980392,0.07,F1,100
6,169,18,0.39215686274509803,0.06,F1,100
5,184,15,0.4325980392156863,0.05,F1,100
4,200,16,0.47058823529411764,0.04,F1,100
3,233,33,0.5306372549019608,0.03,F1,100
2,279,46,0.6274509803921569,0.02,F1,100
1,408,129,0.8419117647058824,0.01,F1,100
16,16,16,0.020050125313283207,0.16,F2,100
15,31,15,0.05889724310776942,0.15,F2,100
13,44,13,0.09398496240601503,0.13,F2,100
12,68,24,0.14035087719298245,0.12,F2,100
9,104,36,0.21553884711779447,0.09,F2,100
8,136,32,0.3007518796992481,0.08,F2,100
7,143,7,0.34962406015037595,0.07,F2,100
6,161,18,0.38095238095238093,0.06,F2,100
5,171,10,0.41604010025062654,0.05,F2,100
4,191,20,0.45363408521303256,0.04,F2,100
3,215,24,0.5087719298245614,0.03,F2,100
2,251,36,0.5839598997493735,0.02,F2,100
1,399,148,0.8145363408521303,0.01,F2,100
22,22,22,0.02576112412177986,0.22,F3,100
16,70,48,0.10772833723653395,0.16,F3,100
13,83,13,0.1791569086651054,0.13,F3,100
11,116,33,0.23302107728337237,0.11,F3,100
10,126,10,0.28337236533957844,0.1,F3,100
8,134,8,0.3044496487119438,0.08,F3,100
7,141,7,0.32201405152224827,0.07,F3,100
6,147,6,0.3372365339578454,0.06,F3,100
5,157,10,0.3559718969555035,0.05,F3,100
4,177,20,0.3911007025761124,0.04,F3,100
3,204,27,0.446135831381733,0.03,F3,100
2,266,62,0.550351288056206,0.02,F3,100
1,427,161,0.8114754098360656,0.01,F3,100
63,63,63,0.04659763313609468,0.63,I1,100
27,90,27,0.11316568047337278,0.27,I1,100
26,116,26,0.15236686390532544,0.26,I1,100
24,140,24,0.1893491124260355,0.24,I1,100
16,156,16,0.21893491124260356,0.16,I1,100
15,171,15,0.24186390532544377,0.15,I1,100
14,185,14,0.26331360946745563,0.14,I1,100
13,198,13,0.28328402366863903,0.13,I1,100
12,222,24,0.3106508875739645,0.12,I1,100
11,255,33,0.35281065088757396,0.11,I1,100
10,265,10,0.38461538461538464,0.1,I1,100
7,293,28,0.41272189349112426,0.07,I1,100
6,323,30,0.4556213017751479,0.06,I1,100
5,348,25,0.496301775147929,0.05,I1,100
4,384,36,0.5414201183431953,0.04,I1,100
3,420,36,0.5946745562130178,0.03,I1,100
2,490,70,0.6730769230769231,0.02,I1,100
1,676,186,0.8624260355029586,0.01,I1,100
96,96,96,0.05139186295503212,0.96,I2,100
56,152,56,0.13276231263383298,0.56,I2,100
53,205,53,0.1911134903640257,0.53,I2,100
52,257,52,0.24732334047109208,0.52,I2,100
39,296,39,0.2960385438972163,0.39,I2,100
32,328,32,0.3340471092077088,0.32,I2,100
31,359,31,0.3677730192719486,0.31,I2,100
28,415,56,0.4143468950749465,0.28,I2,100
27,469,54,0.4732334047109208,0.27,I2,100
26,495,26,0.5160599571734475,0.26,I2,100
24,519,24,0.5428265524625268,0.24,I2,100
18,555,36,0.5749464668094219,0.18,I2,100
17,572,17,0.6033190578158458,0.17,I2,100
16,604,32,0.6295503211991434,0.16,I2,100
