respID,Response,Std,DupeCount,OrigCount,OG99,OrigSum,OG99Sum,FlexCat,FlexCount,FlexSum,ShiftCount,ShiftSum,StartingRow,CaseOrder,RespSec,ReadSec,N,M,count,MAUI,pct_giving,UI95
80502122,earring,earring,62,0,0,9,7,bend,1,5,1,8,2,1,3.908,4.619,928,294,57,0.263120767,0.064479638,0
80502122,hold papers together,hold paper together,294,0,0,9,7,bind,1,5,1,8,2,2,6.31,4.619,928,294,283,0.039926637,0.320135747,0
80502122,bend into a ring,ring,8,1,1,9,7,bend,0,5,1,8,2,3,9.614,4.619,928,294,8,0.7251693,0.009049774,1
80502122,scratch an itch,scratch an itch,3,1,1,9,7,tip,1,5,1,8,2,4,18.262,4.619,928,294,3,0.842832957,0.003393665,1
80502122,press reset button with it,press reset button,57,0,0,9,7,tip,0,5,0,8,2,5,23.526,4.619,928,294,53,0.294441309,0.059954751,0
80502122,scratch paint9ff,paint scraper,1,1,1,9,7,tip,0,5,0,8,2,6,29.91,4.619,928,294,1,0.949633183,0.001131222,1
80502122,carve into something,carving,2,1,1,9,7,tip,0,5,0,8,2,7,39.822,4.619,928,294,2,0.878668172,0.002262443,1
80502122,flick it for table football,table football,2,1,1,9,7,location,1,5,1,8,2,8,58.493,4.619,928,294,2,0.878668172,0.002262443,1
80502122,chain them together as a necklace,necklace,41,1,0,9,7,link,1,5,1,8,2,9,64.293,4.619,928,294,39,0.394892777,0.044117647,1
80502122,bend into small figureine,wire figurine,3,1,1,9,7,bend,0,5,1,8,2,10,71.03,4.619,928,294,3,0.842832957,0.003393665,1
80502122,make a spring,spring,3,1,1,9,7,bend,0,5,0,8,2,11,74.926,4.619,928,294,3,0.842832957,0.003393665,1
80502122,punch a hole in something,poke a hole in something,25,1,0,9,7,tip,0,5,1,8,2,12,80.149,4.619,928,294,25,0.522291196,0.028280543,1
49469879,a bookmark,bookmark,43,1,0,4,3,bind,1,2,1,2,14,1,15.224,2.974,928,294,42,0.360891648,0.047511312,1
49469879,keep a bag closed,close bags,7,1,1,4,3,bind,0,2,0,2,14,2,27.004,2.974,928,294,7,0.750141084,0.007918552,1
49469879,hair berret,barrette,9,1,1,4,3,bind,0,2,0,2,14,3,36.127,2.974,928,294,9,0.706123025,0.010180995,1
49469879,toothpick,toothpick,58,0,0,4,3,tip,1,2,1,2,14,4,42.311,2.974,928,294,56,0.279063205,0.063348416,0
49469879,compass,compass needle,4,1,1,4,3,tip,0,2,0,2,14,5,47.479,2.974,928,294,3,0.842832957,0.003393665,1
79618010,clip,clip,24,1,0,1,0,icon,1,1,1,1,19,1,1.476,1.142,928,294,22,0.551918736,0.024886878,1
97044880,use to clean fingernails with,clean fingernail,42,1,0,2,1,tip,1,2,1,2,20,1,8.775,18.147,928,294,40,0.378103837,0.045248869,1
97044880,use as a monopoly marker,boardgame piece,1,1,1,2,1,icon,1,2,1,2,20,2,22.539,18.147,928,294,1,0.949633183,0.001131222,1
11708310,hold papers together,hold paper together,294,0,0,3,0,bind,1,3,1,4,22,1,NA,2.383,928,294,283,0.039926637,0.320135747,0
11708310,use as a thumbtack,tack,10,1,0,3,0,tip,1,3,1,4,22,2,NA,2.383,928,294,9,0.706123025,0.010180995,1
11708310,use to hold items together,hold,30,1,0,3,0,bind,0,3,1,4,22,3,NA,2.383,928,294,27,0.500282167,0.030542986,1
11708310,make a necklace,necklace,41,1,0,3,0,link,1,3,1,4,22,4,NA,2.383,928,294,39,0.394892777,0.044117647,1
34263940,page clamp,bookmark,43,1,0,1,0,bind,1,1,1,1,26,1,33.298,44.468,928,294,42,0.360891648,0.047511312,1
22567403,hole punch,hole punch,14,1,0,6,3,tip,1,4,1,5,27,1,4.559,5.027,928,294,13,0.656179458,0.014705882,1
22567403,ornament hanger,ornament hook,5,1,1,6,3,bend,1,4,1,5,27,2,12.209,5.027,928,294,5,0.797968397,0.005656109,1
22567403,key holder,keyring,17,1,0,6,3,bend,0,4,0,5,27,3,29.681,5.027,928,294,15,0.624576749,0.016968326,1
22567403,page marker,bookmark,43,1,0,6,3,bind,1,4,1,5,27,4,36.88,5.027,928,294,42,0.360891648,0.047511312,1
22567403,print shpes with paint,paint brush,5,1,1,6,3,tip,0,4,1,5,27,5,48.761,5.027,928,294,5,0.797968397,0.005656109,1
22567403,hang things on a moblie,hang on moblle,1,1,1,6,3,link,1,4,1,5,27,6,58.728,5.027,928,294,1,0.949633183,0.001131222,1
52433601,\key,key,13,1,0,1,0,tip,1,1,1,1,33,1,6.701,6.833,928,294,12,0.672121896,0.013574661,1
48190565,hair tie,hair tie,39,1,0,3,1,bind,1,4,1,4,34,1,10.518,14.416,928,294,37,0.416337472,0.041855204,1
48190565,hanger,hanger,13,1,0,3,1,bend,1,4,1,4,34,2,22.61,14.416,928,294,12,0.672121896,0.013574661,1
48190565,reboot the wireless box,press reset button,57,0,0,3,1,tip,1,4,1,4,34,3,64.398,14.416,928,294,53,0.294441309,0.059954751,0
48190565,hold items on a wind chime,hang on wind chime,1,1,1,3,1,link,1,4,1,4,34,4,105.598,14.416,928,294,1,0.949633183,0.001131222,1
72963512,hooking together making a chain,chain,62,0,0,0,0,link,1,1,0,0,38,1,23.039,2.123,928,294,58,0.246896163,0.06561086,0
17180250,door lock pick,lock picker,186,0,0,1,0,tip,1,2,1,3,39,1,NA,2.007,928,294,178,0.10496614,0.201357466,0
17180250,paper holder,hold paper together,294,0,0,1,0,bind,1,2,1,3,39,2,NA,2.007,928,294,283,0.039926637,0.320135747,0
17180250,weapon,weapon,32,1,0,1,0,tip,0,2,1,3,39,3,NA,2.007,928,294,29,0.480671558,0.03280543,1
99622576,hold papers,hold paper together,294,0,0,0,0,bind,1,2,1,2,42,1,1.965,1.652,928,294,283,0.039926637,0.320135747,0
99622576,lock pick,lock picker,186,0,0,0,0,tip,1,2,1,2,42,2,5.485,1.652,928,294,178,0.10496614,0.201357466,0
59521466,hold papers,hold paper together,294,0,0,1,0,bind,1,3,1,3,44,1,4.089,2.483,928,294,283,0.039926637,0.320135747,0
59521466,earring,earring,62,0,0,1,0,bend,1,3,1,3,44,2,7.538,2.483,928,294,57,0.263120767,0.064479638,0
59521466,ear cleaner,ear cleaner,12,1,0,1,0,tip,1,3,1,3,44,3,18.073,2.483,928,294,12,0.672121896,0.013574661,1
59521466,toothpick,toothpick,58,0,0,1,0,tip,0,3,0,3,44,4,21.069,2.483,928,294,56,0.279063205,0.063348416,0
59521466,lock pick,lock picker,186,0,0,1,0,tip,0,3,0,3,44,5,29.516,2.483,928,294,178,0.10496614,0.201357466,0
82082115,paper,paper s ,173,0,0,0,0,bind,1,1,1,1,49,1,2.088,1.535,928,294,167,0.153639955,0.188914027,0
87105617,to pick the dirt out of your fingernails with,clean fingernail,42,1,0,4,1,tip,1,3,1,5,50,1,15.575,6.77,928,294,40,0.378103837,0.045248869,1
87105617,to fascen your pants with when your button fly breaks,button,16,1,0,4,1,bend,1,3,1,5,50,2,45.905,6.77,928,294,15,0.624576749,0.016968326,1
87105617,as an earring,earring,62,0,0,4,1,bend,0,3,0,5,50,3,54.301,6.77,928,294,57,0.263120767,0.064479638,0
87105617,to pop a balloon with,pop balloon,5,1,1,4,1,tip,0,3,1,5,50,4,69.327,6.77,928,294,4,0.819130926,0.004524887,1
87105617,as a key to unlock a bathroom door,lock picker,186,0,0,4,1,tip,0,3,0,5,50,5,80.924,6.77,928,294,178,0.10496614,0.201357466,0
87105617,to poke someone with to wake them up,poker,26,1,0,4,1,tip,0,3,0,5,50,6,120.747,6.77,928,294,25,0.522291196,0.028280543,1
87105617,hook several together to make a chain,chain,62,0,0,4,1,link,1,3,1,5,50,7,146.641,6.77,928,294,58,0.246896163,0.06561086,0
87105617,to reset a modem with,press reset button,57,0,0,4,1,tip,0,3,1,5,50,8,220.975,6.77,928,294,53,0.294441309,0.059954751,0
69028491,bookmark,bookmark,43,1,0,7,4,bind,1,4,1,6,58,1,15.544,3.54,928,294,42,0.360891648,0.047511312,1
69028491,money clip,money clip,7,1,1,7,4,bind,0,4,0,6,58,2,21.775,3.54,928,294,7,0.750141084,0.007918552,1
69028491,string together to make jewelry,jewelry,23,1,0,7,4,bend,1,4,1,6,58,3,26.141,3.54,928,294,22,0.551918736,0.024886878,1
69028491,use the ends to clean fingernails,clean fingernail,42,1,0,7,4,tip,1,4,1,6,58,4,50.82,3.54,928,294,40,0.378103837,0.045248869,1
69028491,use it to secure the bread sack,close bags,7,1,1,7,4,bind,0,4,1,6,58,5,65.627,3.54,928,294,7,0.750141084,0.007918552,1
69028491,use it to hold your ID to a lanyard,lanyard,1,1,1,7,4,link,1,4,1,6,58,6,93.944,3.54,928,294,1,0.949633183,0.001131222,1
69028491,glue to barbie house wall for a wall decoration,dollhouse decoration,1,1,1,7,4,bend,0,4,1,6,58,7,121.009,3.54,928,294,1,0.949633183,0.001131222,1
30006367,Open doors,lock picker,186,0,0,0,0,tip,1,2,1,2,65,1,9.461,1.961,928,294,178,0.10496614,0.201357466,0
30006367,hold paper together,hold paper together,294,0,0,0,0,bind,1,2,1,2,65,2,14.253,1.961,928,294,283,0.039926637,0.320135747,0
41270529,hold papers together,hold paper together,294,0,0,2,0,bind,1,3,0,2,67,1,9.72,4.783,928,294,283,0.039926637,0.320135747,0
41270529,straighten and use to poke something small,poker,26,1,0,2,0,tip,1,3,1,2,67,2,32.807,4.783,928,294,25,0.522291196,0.028280543,1
41270529,make a cheap necklace by linking many together,necklace,41,1,0,2,0,link,1,3,1,2,67,3,63.535,4.783,928,294,39,0.394892777,0.044117647,1
41460551,Operation Paperclip,operation paperclip,7,1,1,2,2,icon,1,4,1,4,70,1,11.769,82.399,928,294,6,0.775112867,0.00678733,1
41460551,Office Depot,office depot,2,1,1,2,2,location,1,4,1,4,70,2,47.768,82.399,928,294,2,0.878668172,0.002262443,1
41460551,Staples,staple,49,0,0,2,2,bend,1,4,1,4,70,3,51.395,82.399,928,294,49,0.315744921,0.055429864,0
41460551,Paperclip chain,chain,62,0,0,2,2,link,1,4,1,4,70,4,97.681,82.399,928,294,58,0.246896163,0.06561086,0
86743152,holding papers together,hold paper together,294,0,0,7,4,bind,1,5,1,6,74,1,7.936,7.324,928,294,283,0.039926637,0.320135747,0
86743152,play a hand football game with it,table football,2,1,1,7,4,location,1,5,1,6,74,2,15.124,7.324,928,294,2,0.878668172,0.002262443,1
86743152,use it to create wire figures,wire figurine,3,1,1,7,4,bend,1,5,1,6,74,3,21.975,7.324,928,294,3,0.842832957,0.003393665,1
86743152,make a necklace,necklace,41,1,0,7,4,link,1,5,1,6,74,4,24.651,7.324,928,294,39,0.394892777,0.044117647,1
86743152,use as a weapon,weapon,32,1,0,7,4,tip,1,5,1,6,74,5,30.462,7.324,928,294,29,0.480671558,0.03280543,1
86743152,use as a hole punch,hole punch,14,1,0,7,4,tip,0,5,0,6,74,6,34.522,7.324,928,294,13,0.656179458,0.014705882,1
86743152,use to scratch yourself,scratch an itch,3,1,1,7,4,tip,0,5,0,6,74,7,44.974,7.324,928,294,3,0.842832957,0.003393665,1
86743152,use to complete an electrical circuit,circuit,9,1,1,7,4,link,0,5,1,6,74,8,54.186,7.324,928,294,9,0.706123025,0.010180995,1
61294211,Paper,paper s ,173,0,0,2,0,bind,1,2,1,4,82,1,7.699,3.278,928,294,167,0.153639955,0.188914027,0
61294211,Pick lock,lock picker,186,0,0,2,0,tip,1,2,1,4,82,2,11.471,3.278,928,294,178,0.10496614,0.201357466,0
61294211,Hold up hair,hair tie,39,1,0,2,0,bind,0,2,1,4,82,3,15.176,3.278,928,294,37,0.416337472,0.041855204,1
61294211,Open DVD drive,eject disk sim tray,28,1,0,2,0,tip,0,2,1,4,82,4,22.822,3.278,928,294,27,0.500282167,0.030542986,1
39292371,keeping papers together,hold paper together,294,0,0,2,1,bind,1,3,1,3,86,1,7.437,26.853,928,294,283,0.039926637,0.320135747,0
39292371,cleaning fingernails,clean fingernail,42,1,0,2,1,tip,1,3,1,3,86,2,13.213,26.853,928,294,40,0.378103837,0.045248869,1
39292371,using as a toothpick,toothpick,58,0,0,2,1,tip,0,3,0,3,86,3,21.405,26.853,928,294,56,0.279063205,0.063348416,0
39292371,using to hang Christmas ornament,ornament hook,5,1,1,2,1,bend,1,3,1,3,86,4,36.694,26.853,928,294,5,0.797968397,0.005656109,1
52549848,papers,paper s ,173,0,0,0,0,bind,1,2,1,2,90,1,6.374,4.514,928,294,167,0.153639955,0.188914027,0
52549848,pixk lock,lock picker,186,0,0,0,0,tip,1,2,1,2,90,2,9.269,4.514,928,294,178,0.10496614,0.201357466,0
62578265,clean teeth,toothpick,58,0,0,1,0,tip,1,3,0,2,92,1,12.497,1.144,928,294,56,0.279063205,0.063348416,0
62578265,bend it into jewelry,jewelry,23,1,0,1,0,bend,1,3,1,2,92,2,25.002,1.144,928,294,22,0.551918736,0.024886878,1
62578265,make a chain,chain,62,0,0,1,0,link,1,3,1,2,92,3,29.782,1.144,928,294,58,0.246896163,0.06561086,0
83632428,hold papers together,hold paper together,294,0,0,1,1,bind,1,2,1,2,95,1,8.275,3.035,928,294,283,0.039926637,0.320135747,0
83632428,always looking for one,hard to find,4,1,1,1,1,location,1,2,1,2,95,2,32.33,3.035,928,294,4,0.819130926,0.004524887,1
40824269,holds paper,hold paper together,294,0,0,0,0,bind,1,2,1,2,97,1,2.786,4.877,928,294,283,0.039926637,0.320135747,0
