ID,Condition,MTurkTime,Gender,Age,SocialClass,Education,TIPI_O,TIPI_C,TIPI_E,TIPI_A,TIPI_N,RIBS_Tot,Task1,TaskType1,JS_Flu1,Flu1,Flex1,Orig1,OOI_Ord1,OOI_Lat1,OG_Orig1,OG_OOI_Ord1,OG_OOI_Lat1,OffWin1,ReadTime1,Task2,TaskType2,JS_Flu2,Flu2,Flex2,Orig2,OOI_Ord2,OOI_Lat2,OG_Orig2,OG_OOI_Ord2,OG_OOI_Lat2,OffWin2,ReadTime2,Task3,TaskType3,JS_Flu3,Flu3,Flex3,Orig3,OOI_Ord3,OOI_Lat3,OG_Orig3,OG_OOI_Ord3,OG_OOI_Lat3,OffWin3,ReadTime3,Task4,TaskType4,JS_Flu4,Flu4,Flex4,Orig4,OOI_Ord4,OOI_Lat4,OG_Orig4,OG_OOI_Ord4,OG_OOI_Lat4,OffWin4,ReadTime4,Task5,TaskType5,JS_Flu5,Flu5,Flex5,Orig5,OOI_Ord5,OOI_Lat5,OG_Orig5,OG_OOI_Ord5,OG_OOI_Lat5,OffWin5,ReadTime5,Task6,TaskType6,JS_Flu6,Flu6,Flex6,Orig6,OOI_Ord6,OOI_Lat6,OG_Orig6,OG_OOI_Ord6,OG_OOI_Lat6,OffWin6,ReadTime6,Task7,TaskType7,JS_Flu7,Flu7,Flex7,Orig7,OOI_Ord7,OOI_Lat7,OG_Orig7,OG_OOI_Ord7,OG_OOI_Lat7,OffWin7,ReadTime7,Task8,TaskType8,JS_Flu8,Flu8,Flex8,Orig8,OOI_Ord8,OOI_Lat8,OG_Orig8,OG_OOI_Ord8,OG_OOI_Lat8,OffWin8,ReadTime8,Task9,TaskType9,JS_Flu9,Flu9,Flex9,Orig9,OOI_Ord9,OOI_Lat9,OG_Orig9,OG_OOI_Ord9,OG_OOI_Lat9,OffWin9,ReadTime9,Flu_Total,Flex_Total,Orig_Total,OOI_Ord_Avg,OOI_Lat_Avg,OG_Orig_Total,OG_OOI_Ord_Avg,OG_OOI_Lat_Avg
80502122,6,1222,2,31,1,5,10,7,11,5,11,68,9,3,8,8,3,4,1,4.498,2,1,15.119,0,10006,8,3,9,9,2,9,1,3.086,5,1,3.086,0,4179,7,3,6,6,4,5,1,8.279,4,3,13.583,0,2458,6,2,19,19,8,14,1,4.182,9,3,11.67,2,12082,5,2,20,20,4,7,7,11.583,3,8,14.047,1,8407,4,2,19,19,4,0,1,3.822,11,4,13.182,0,3399,3,1,20,20,4,18,3,11.231,14,3,11.231,1,20516,2,2,18,18,6,11,2,5.326,7,1,19.462,0,2854,1,1,12,12,5,9,3,9.614,7,3,9.614,0,4619,131,40,77,2.222,6.847,62,3,12.333
49469879,2,1065,1,41,4,5,8,11,3,10,12,58,2,2,5,5,1,4,2,9.851,1,2,23.352,0,11969,3,1,5,5,3,4,1,57.261,2,2,61.828,0,10922,1,1,5,5,2,4,1,15.224,3,2,27.004,0,2974,6,2,10,10,2,5,5,44.017,2,8,55.627,0,13715,5,2,8,8,5,2,6,29.909,0,0, ,0,4503,4,2,5,5,4,1,2,59.305,0,0, ,0,2807,7,3,2,0,0,0,0, ,0,0, ,0,15212,8,3,3,3,2,2,1,9.515,1,1,9.515,0,7350,9,3,5,5,3,3,1,10.705,2,1,10.705,0,3288,46,22,25,2.375,29.473,11,2,31.339
79618010,1,952,1,30,5,6,9,9, ,9,8,45,2,2,3,3,3,1,3,4.462,1,3,4.462,0,1857,1,1,1,1,1,1,1,1.476,0,0, ,0,1142,3,1,1,1,1,0,0, ,0,0, ,0,749,5,2,4,4,3,1,4,20.71,1,4,20.71,0,1191,4,2,3,3,2,2,1,3.53,0,0, ,0,1437,6,2,1,1,1,0,0, ,0,0, ,0,965,8,3,1,1,1,1,1,11.05,1,1,11.05,0,1288,9,3,1,1,1,0,0, ,0,0, ,0,1371,7,3,1,1,1,0,0, ,0,0, ,0,1416,16,14,6,1.111,8.246,3,.889,12.074
97044880,9,1143,2,59,2,3, ,12,8,12,6,43,3,1,2,2,1,1,1,101.954,0,0, ,2,32872,2,2,3,3,2,1,3,49.641,1,3,49.641,0,31880,1,1,2,2,2,2,1,8.775,1,2,22.539,0,18147,5,2,8,8,4,1,4,29.862,1,4,29.862,0,14244,6,2,2,2,2,0,0, ,0,0, ,1,18970,4,2,2,2,2,0,0, ,0,0, ,0,4857,8,3,2,2,1,2,1,9.314,0,0, ,0,15380,9,3,1,1,1,0,0, ,0,0, ,0,9455,7,3,2,2,1,2,1,15.503,1,1,15.503,1,63406,24,16,9,1.222,35.842,4,1.111,29.386
11708310,5,625,2,54,3,3,10,11,5,12,11,63,3,1,0,2,2,1,2, ,0,0, ,0,16596,1,1,0,4,3,3,2, ,0,0, ,0,2383,2,2,0,4,3,1,1, ,0,1, ,0,3001,5,2,0,5,4,1,5, ,1,5, ,0,6221,4,2,0,5,3,3,2, ,0,0, ,0,4694,6,2,0,5,2,2,4, ,1,5, ,0,3356,8,3,0,3,3,1,3, ,0,0, ,0,12026,9,3,0,3,2,3,1, ,3,1, ,0,6543,7,3,0,3,1,2,2, ,1,3, ,0,2513,34,23,17,2.444,-99,6,1.667,-99
34263940,7,2935,2,49,4,4,12,14,10,13,13,54,7,3,3,3,2,2,1,5.983,2,1,5.983,0,37163,8,3,3,3,2,2,1,3.535,2,1,3.535,0,8372,9,3,2,2,2,2,1,6.134,1,1,39.996,1,41957,4,2,16,16,5,8,3,51.619,3,3,51.619,0,12845,5,2,9,9,4,2,7,54.674,0,0, ,0,6406,6,2,18,18,4,15,1,21.159,14,4,89.528,0,6012,1,1,1,1,1,1,1,33.298,0,0, ,0,44468,2,2,5,5,3,4,1,38.295,4,1,38.295,0,8991,3,1,6,6,3,4,2,39.603,3,2,39.603,0,11312,63,26,40,2,28.256,29,1.444,38.366
22567403,9,1419,2,65,5,6,13,14,13,14, ,64,3,1,6,6,3,4,3,37.258,3,4,43.952,0,18352,1,1,6,6,4,6,1,4.559,3,2,12.209,0,5027,2,2,6,6,5,3,1,5.676,1,1,73.818,0,3073,6,2,14,14,7,9,6,34.472,4,6,34.472,0,7864,4,2,9,9,6,3,4,26.629,0,0, ,0,4755,5,2,10,10,5,1,10,85.514,0,0, ,0,3931,7,3,7,7,5,6,2,12.42,3,3,17.887,0,8522,8,3,6,6,3,5,2,24.38,4,2,24.38,0,10489,9,3,7,7,4,7,1,33.011,5,1,38.727,0,13282,71,42,44,3.333,29.324,23,2.111,35.064
52433601,6,618,1,30,4,3,13,14,12,12,13,30,8,3,3,3,2,2,1,4.6,2,1,4.6,0,4970,7,3,1,1,1,0,0, ,0,0, ,0,2138,9,3,3,3,2,3,1,9.199,3,1,9.199,0,9580,5,2,5,5,2,1,2,5.81,0,0, ,0,16347,4,2,1,0,0,0,0, ,0,0, ,0,27188,6,2,1,1,1,0,0, ,0,0, ,0,2664,2,2,2,2,2,2,1,4.316,1,1,8.167,0,1734,1,1,1,1,1,1,1,6.701,0,0, ,0,6833,3,1,1,1,1,0,0, ,0,0, ,0,4626,17,12,9,.75,6.125,6,.375,7.322
48190565,5,1386,2,59,4,4,13,14,2,14, ,50,1,1,1,5,3,2,1, ,1,4,105.598,0,3791,2,2,1,5,3,2,1, ,0,1, ,0,3791,3,1,1,5,2,3,2, ,3,2, ,1,1921,4,2,11,11,3,5,7,36.088,3,7,36.088,0,9385,5,2,1,13,5,3,3, ,1,3, ,0,3781,6,2,1,10,5,8,1, ,6,2, ,1,3753,7,3,1,6,3,2,4, ,1,5, ,0,11075,8,3,1,5,3,4,1, ,4,1, ,0,7565,9,3,1,4,2,2,3, ,0,3, ,0,6108,63,30,32,2.556,23.303,19,3.111,70.843
72963512,7,717,2,45,2,2, ,14, ,14,14,34,6,2,5,5,3,3,3,35.153,1,3,35.153,0,16520,5,2,9,9,4,0,0, ,0,0, ,0,4222,4,2,6,6,4,1,4,23.015,0,0, ,0,10294,3,1,2,2,2,0,0, ,0,0, ,0,24618,2,2,4,4,4,2,1,26.938,1,1,35.401,0,3338,1,1,1,1,1,0,0, ,0,0, ,1,2123,9,3,2,2,2,2,1,5.963,1,1,5.963,0,37425,8,3,3,3,2,1,2,6.494,0,0, ,0,2503,7,3,4,4,2,2,2,11.676,0,0, ,0,3351,36,24,11,1.444,18.207,3,.556,25.506
