"","frequency","count","mass","cum_mass","MAUI","UI","norm_rank","TypeItem","sample_size"
"1",51,1,51,51,0.0625,0.49,0.0384615384615385,"F1",100
"2",24,1,24,75,0.154411764705882,0.76,0.115384615384615,"F1",100
"3",12,1,12,87,0.198529411764706,0.88,0.192307692307692,"F1",100
"4",10,1,10,97,0.225490196078431,0.9,0.269230769230769,"F1",100
"5",9,1,9,106,0.248774509803922,0.91,0.346153846153846,"F1",100
"6",8,3,24,130,0.28921568627451,0.92,0.423076923076923,"F1",100
"7",7,3,21,151,0.344362745098039,0.93,0.5,"F1",100
"8",6,3,18,169,0.392156862745098,0.94,0.576923076923077,"F1",100
"9",5,3,15,184,0.432598039215686,0.95,0.653846153846154,"F1",100
"10",4,4,16,200,0.470588235294118,0.96,0.730769230769231,"F1",100
"11",3,11,33,233,0.530637254901961,0.97,0.807692307692308,"F1",100
"12",2,23,46,279,0.627450980392157,0.98,0.884615384615385,"F1",100
"13",1,129,129,408,0.841911764705882,0.99,0.961538461538462,"F1",100
"14",16,1,16,16,0.0200501253132832,0.84,0.0384615384615385,"F2",100
"15",15,1,15,31,0.0588972431077694,0.85,0.115384615384615,"F2",100
"16",13,1,13,44,0.093984962406015,0.87,0.192307692307692,"F2",100
"17",12,2,24,68,0.140350877192982,0.88,0.269230769230769,"F2",100
"18",9,4,36,104,0.215538847117794,0.91,0.346153846153846,"F2",100
"19",8,4,32,136,0.300751879699248,0.92,0.423076923076923,"F2",100
"20",7,1,7,143,0.349624060150376,0.93,0.5,"F2",100
"21",6,3,18,161,0.380952380952381,0.94,0.576923076923077,"F2",100
"22",5,2,10,171,0.416040100250627,0.95,0.653846153846154,"F2",100
"23",4,5,20,191,0.453634085213033,0.96,0.730769230769231,"F2",100
"24",3,8,24,215,0.508771929824561,0.97,0.807692307692308,"F2",100
"25",2,18,36,251,0.583959899749373,0.98,0.884615384615385,"F2",100
"26",1,148,148,399,0.81453634085213,0.99,0.961538461538462,"F2",100
"27",22,1,22,22,0.0257611241217799,0.78,0.0384615384615385,"F3",100
"28",16,3,48,70,0.107728337236534,0.84,0.115384615384615,"F3",100
"29",13,1,13,83,0.179156908665105,0.87,0.192307692307692,"F3",100
"30",11,3,33,116,0.233021077283372,0.89,0.269230769230769,"F3",100
"31",10,1,10,126,0.283372365339578,0.9,0.346153846153846,"F3",100
"32",8,1,8,134,0.304449648711944,0.92,0.423076923076923,"F3",100
"33",7,1,7,141,0.322014051522248,0.93,0.5,"F3",100
"34",6,1,6,147,0.337236533957845,0.94,0.576923076923077,"F3",100
"35",5,2,10,157,0.355971896955504,0.95,0.653846153846154,"F3",100
"36",4,5,20,177,0.391100702576112,0.96,0.730769230769231,"F3",100
"37",3,9,27,204,0.446135831381733,0.97,0.807692307692308,"F3",100
"38",2,31,62,266,0.550351288056206,0.98,0.884615384615385,"F3",100
"39",1,161,161,427,0.811475409836066,0.99,0.961538461538462,"F3",100
"40",63,1,63,63,0.0465976331360947,0.37,0.0277777777777778,"I1",100
"41",27,1,27,90,0.113165680473373,0.73,0.0833333333333333,"I1",100
"42",26,1,26,116,0.152366863905325,0.74,0.138888888888889,"I1",100
"43",24,1,24,140,0.189349112426035,0.76,0.194444444444444,"I1",100
"44",16,1,16,156,0.218934911242604,0.84,0.25,"I1",100
"45",15,1,15,171,0.241863905325444,0.85,0.305555555555556,"I1",100
"46",14,1,14,185,0.263313609467456,0.86,0.361111111111111,"I1",100
"47",13,1,13,198,0.283284023668639,0.87,0.416666666666667,"I1",100
"48",12,2,24,222,0.310650887573964,0.88,0.472222222222222,"I1",100
"49",11,3,33,255,0.352810650887574,0.89,0.527777777777778,"I1",100
"50",10,1,10,265,0.384615384615385,0.9,0.583333333333333,"I1",100
"51",7,4,28,293,0.412721893491124,0.93,0.638888888888889,"I1",100
"52",6,5,30,323,0.455621301775148,0.94,0.694444444444444,"I1",100
"53",5,5,25,348,0.496301775147929,0.95,0.75,"I1",100
"54",4,9,36,384,0.541420118343195,0.96,0.805555555555556,"I1",100
"55",3,12,36,420,0.594674556213018,0.97,0.861111111111111,"I1",100
"56",2,35,70,490,0.673076923076923,0.98,0.916666666666667,"I1",100
"57",1,186,186,676,0.862426035502959,0.99,0.972222222222222,"I1",100
"58",96,1,96,96,0.0513918629550321,0.04,0.0185185185185185,"I2",100
"59",56,1,56,152,0.132762312633833,0.44,0.0555555555555556,"I2",100
"60",53,1,53,205,0.191113490364026,0.47,0.0925925925925926,"I2",100
"61",52,1,52,257,0.247323340471092,0.48,0.12962962962963,"I2",100
"62",39,1,39,296,0.296038543897216,0.61,0.166666666666667,"I2",100
"63",32,1,32,328,0.334047109207709,0.68,0.203703703703704,"I2",100
"64",31,1,31,359,0.367773019271949,0.69,0.240740740740741,"I2",100
"65",28,2,56,415,0.414346895074946,0.72,0.277777777777778,"I2",100
